date,open,high,low,close,volume
1999-11-01,46.75,46.94,46.13,46.63,643650
1999-11-02,46.56,47.0,46.06,46.56,482600
1999-11-03,46.56,46.69,45.88,46.25,338150
1999-11-04,46.25,46.38,45.56,45.63,413300
1999-11-05,45.63,45.81,44.69,45.13,597750
1999-11-08,45.25,47.38,45.25,47.13,585150
1999-11-09,47.5,48.25,47.5,47.94,570750
1999-11-10,47.75,49.19,47.63,48.69,479450
1999-11-11,48.75,49.31,48.44,49.06,362050
1999-11-12,49.0,49.63,48.13,49.5,418850
1999-11-15,49.88,49.88,49.38,49.75,229650
1999-11-16,49.63,50.94,49.63,50.88,713450
1999-11-17,51.44,51.88,51.19,51.38,1073800
1999-11-18,51.5,51.5,50.0,50.06,575200
1999-11-19,50.06,50.69,49.94,49.94,685000
1999-11-22,49.75,50.5,48.81,48.94,477450
1999-11-23,48.94,48.94,47.56,48.0,780600
1999-11-24,48.19,48.56,47.69,47.94,353350
1999-11-26,48.19,48.44,47.75,47.88,224400
1999-11-29,47.88,48.06,47.38,48.06,997600
1999-11-30,48.0,48.0,47.69,47.81,2204850
1999-12-01,47.75,48.63,47.13,48.63,454400
1999-12-02,48.63,48.94,47.56,47.88,517850
1999-12-03,47.63,49.13,47.63,48.06,576250
1999-12-06,47.81,47.94,47.44,47.88,428650
1999-12-07,47.63,47.94,47.38,47.63,908500
1999-12-08,47.63,49.94,47.63,48.36,1589100
1999-12-09,48.88,49.31,48.13,48.63,425150
1999-12-10,48.63,48.69,47.25,47.38,669100
1999-12-13,47.13,48.19,46.88,47.75,967950
1999-12-14,47.38,47.56,46.69,47.13,453850
1999-12-15,47.63,48.5,47.5,47.94,528250
1999-12-16,47.69,47.88,46.63,47.88,680150
1999-12-17,48.5,48.5,46.88,47.13,1656000
1999-12-20,46.56,46.75,45.38,46.25,787200
1999-12-21,45.94,46.44,45.38,45.63,547800
1999-12-22,45.5,45.63,44.88,45.5,1381550
1999-12-23,45.75,46.25,45.5,45.75,1135350
1999-12-27,46.0,46.13,45.63,45.75,1233700
1999-12-28,45.31,46.38,45.31,46.31,551700
1999-12-29,46.38,47.0,46.38,46.63,344850
1999-12-30,46.63,47.31,46.31,47.06,608900
1999-12-31,47.56,47.56,46.75,47.0,293050
2000-01-03,46.5,46.63,45.25,45.31,931100
2000-01-04,44.88,45.25,44.19,44.44,736400
2000-01-05,44.69,44.94,43.19,43.63,2037950
2000-01-06,43.75,45.63,43.25,45.13,1359900
2000-01-07,45.5,45.81,45.0,45.13,881350
2000-01-10,45.31,45.31,44.56,45.0,752300
2000-01-11,45.0,45.25,44.5,44.94,556950
2000-01-12,44.69,44.88,43.88,44.06,1126550
2000-01-13,44.63,44.69,44.0,44.13,968850
2000-01-14,44.13,44.13,43.0,43.75,554850
2000-01-18,43.56,44.5,43.56,44.44,768700
2000-01-19,44.81,44.81,43.63,44.06,738100
2000-01-20,43.88,43.88,42.38,42.81,610350
2000-01-21,43.19,43.69,42.25,42.69,1663600
2000-01-24,43.06,43.19,41.5,41.75,1152500
2000-01-25,42.06,42.56,41.19,42.25,750050
2000-01-26,42.5,42.5,40.75,41.19,1185300
2000-01-27,41.19,41.19,39.94,40.5,710850
2000-01-28,40.44,40.69,39.25,39.88,686950
2000-01-31,39.75,41.0,39.25,40.88,1030250
2000-02-01,40.88,41.13,39.94,40.69,843600
2000-02-02,40.5,41.38,39.81,40.13,632900
