symbol,sector
XOM,Energy
CVX,Energy
COP,Energy
EOG,Energy
SLB,Energy
HAL,Energy
PSX,Energy
MPC,Energy
OXY,Energy
DVN,Energy
KMI,Energy
LIN,Materials
APD,Materials
ECL,Materials
SHW,Materials
NUE,Materials
DOW,Materials
SCCO,Materials
FCX,Materials
MLM,Materials
VMC,Materials
BA,Industrials
CAT,Industrials
DE,Industrials
HON,Industrials
GE,Industrials
LMT,Industrials
UPS,Industrials
UNP,Industrials
MMM,Industrials
RTX,Industrials
GD,Industrials
ETN,Industrials
NEE,Utilities
DUK,Utilities
SO,Utilities
AEP,Utilities
EXC,Utilities
XEL,Utilities
SRE,Utilities
D,Utilities
ED,Utilities
PEG,Utilities
JNJ,Healthcare
PFE,Healthcare
MRK,Healthcare
UNH,Healthcare
ABBV,Healthcare
ABT,Healthcare
TMO,Healthcare
MDT,Healthcare
CVS,Healthcare
BMY,Healthcare
JPM,Financials
BAC,Financials
WFC,Financials
C,Financials
GS,Financials
MS,Financials
BLK,Financials
BK,Financials
AXP,Financials
USB,Financials
PGR,Financials
AMZN,Consumer Discretionary
TSLA,Consumer Discretionary
HD,Consumer Discretionary
MCD,Consumer Discretionary
NKE,Consumer Discretionary
SBUX,Consumer Discretionary
TGT,Consumer Discretionary
LOW,Consumer Discretionary
BKNG,Consumer Discretionary
GM,Consumer Discretionary
PG,Consumer Staples
KO,Consumer Staples
PEP,Consumer Staples
WMT,Consumer Staples
COST,Consumer Staples
PM,Consumer Staples
MO,Consumer Staples
CL,Consumer Staples
KMB,Consumer Staples
MDLZ,Consumer Staples
KR,Consumer Staples
AAPL,Information Technology
MSFT,Information Technology
NVDA,Information Technology
AVGO,Information Technology
ORCL,Information Technology
CRM,Information Technology
ADBE,Information Technology
INTC,Information Technology
AMD,Information Technology
CSCO,Information Technology
GOOGL,Communication Services
META,Communication Services
TMUS,Communication Services
VZ,Communication Services
T,Communication Services
DIS,Communication Services
NFLX,Communication Services
CMCSA,Communication Services
CHTR,Communication Services
WBD,Communication Services
PLD,Real Estate
AMT,Real Estate
CCI,Real Estate
SPG,Real Estate
O,Real Estate
EQIX,Real Estate
PSA,Real Estate
WELL,Real Estate
VTR,Real Estate
AVB,Real Estate
-P-HIZ,
A,
AA,
AAA,
AAAU,
AACBR,
AACBU,
AACG,
AACI,
AACIU,
AACIW,
AADR,
AAL,
AALG,
AAM,
AAM-U,
AAM-WS,
AAME,
AAMI,
AAOI,
AAON,
AAP,
AAPB,
AAPD,
AAPG,
AAPGV,
AAPR,
AAPU,
AAPW,
AAPX,
AAPY,
AARD,
AAT,
AAUC,
AAUM,
AAVM,
AAXJ,
AB,
ABAT,
ABCB,
ABCL,
ABCS,
ABEO,
ABEQ,
ABEV,
ABFL,
ABG,
ABI,
ABL,
ABLD,
ABLG,
ABLLL,
ABLLW,
ABLV,
ABLVW,
ABM,
ABNB,
ABNY,
ABOS,
ABOT,
ABPWW,
ABR,
ABR-P-D,
ABR-P-E,
ABR-P-F,
ABSI,
ABST,
ABTS,
ABUS,
ABVC,
ABVE,
ABVEW,
ABVX,
ABXB,
ACA,
ACAD,
ACB,
ACCO,
ACCS,
ACDC,
ACEI,
ACEL,
ACES,
ACET,
ACGL,
ACGLN,
ACGLO,
ACGR,
ACHC,
ACHL,
ACHR,
ACHR-WS,
ACHV,
ACI,
ACIC,
ACIO,
ACIU,
ACIW,
ACKY,
ACLC,
ACLO,
ACLS,
ACLX,
ACM,
ACMR,
ACN,
ACNB,
ACNT,
ACOG,
ACON,
ACONW,
ACP,
ACP-P-A,
ACR,
ACR-P-C,
ACR-P-D,
ACRE,
ACRS,
ACRV,
ACSI,
ACST,
ACT,
ACTG,
ACTU,
ACTV,
ACU,
ACV,
ACVA,
ACVF,
ACVT,
ACWI,
ACWV,
ACWX,
ACXP,
AD,
ADAG,
ADAL,
ADALU,
ADALW,
ADAM,
ADAMG,
ADAMH,
ADAMI,
ADAML,
ADAMM,
ADAMN,
ADAMZ,
ADAP,
ADBG,
ADC,
ADC-P-A,
ADCT,
ADEA,
ADFI,
ADGM,
ADI,
ADIL,
